------------------|----------|----------|----------|----------|-------------------|
File              |  % Stmts | % Branch |  % Funcs |  % Lines | Uncovered Line #s |
------------------|----------|----------|----------|----------|-------------------|
All files         |      100 |      100 |      100 |      100 |                   |
 src              |      100 |      100 |      100 |      100 |                   |
  runTests.ts     |      100 |      100 |      100 |      100 |                   |
 src/array        |      100 |      100 |      100 |      100 |                   |
  add.ts          |      100 |      100 |      100 |      100 |                   |
  all.ts          |      100 |      100 |      100 |      100 |                   |
  any.ts          |      100 |      100 |      100 |      100 |                   |
  remove.ts       |      100 |      100 |      100 |      100 |                   |
  removeAll.ts    |      100 |      100 |      100 |      100 |                   |
  removeAt.ts     |      100 |      100 |      100 |      100 |                   |
  select.ts       |      100 |      100 |      100 |      100 |                   |
  selectMany.ts   |      100 |      100 |      100 |      100 |                   |
  where.ts        |      100 |      100 |      100 |      100 |                   |
 src/string       |      100 |      100 |      100 |      100 |                   |
  after.ts        |      100 |      100 |      100 |      100 |                   |
  afterLast.ts    |      100 |      100 |      100 |      100 |                   |
  before.ts       |      100 |      100 |      100 |      100 |                   |
  beforeLast.ts   |      100 |      100 |      100 |      100 |                   |
  matches.ts      |      100 |      100 |      100 |      100 |                   |
  toCamelCase.ts  |      100 |      100 |      100 |      100 |                   |
  toPascalCase.ts |      100 |      100 |      100 |      100 |                   |
------------------|----------|----------|----------|----------|-------------------|
